shelter_name,address,latitude,longitude,is_indoor,capacity,nearest_aqi_station,nearest_aqi_value,distance_to_station_km,risk_level,risk_reason,analysis_time
后庄國小操場,文化街20號,24.696211,120.897894,False,150,新竹,42,14.84,Safe,AQI良好或為室內設施,2026-03-03 19:07:25
五結國中五動館,大吉五路58號,24.6963,121.8002,True,465,宜蘭,33,3.02,Safe,AQI良好或為室內設施,2026-03-03 19:07:25
信義國小操場,信中路36號,24.69706,120.890744,False,200,新竹,42,15.12,Safe,AQI良好或為室內設施,2026-03-03 19:07:25
興隆社區活動中心室內,興隆路一段24-26號?,24.697341,120.931057,True,100,新竹,42,13.46,Safe,AQI良好或為室內設施,2026-03-03 19:07:25
四結福德廟,孝威路322號,24.6974,121.7652,True,106,宜蘭,33,0.73,Safe,AQI良好或為室內設施,2026-03-03 19:07:25
石井集會所,4鄰34-7號,24.69814,121.00073,True,35,新竹,42,13.29,Safe,AQI良好或為室內設施,2026-03-03 19:07:25
嘉樂村集會所,6鄰9號,24.6986,121.1913,True,40,新竹,42,25.98,Safe,AQI良好或為室內設施,2026-03-03 19:07:25
北埔鄉圓樓市場,光復街30號,24.699071,121.056026,True,165,新竹,42,15.58,Safe,AQI良好或為室內設施,2026-03-03 19:07:25
開基灶君廟省民堂,三結東路14號,24.6994,121.7867,True,32,宜蘭,33,1.79,Safe,AQI良好或為室內設施,2026-03-03 19:07:25
北埔鄉老人文康中心,北埔街90號3樓,24.700345,121.055108,True,50,新竹,42,15.41,Safe,AQI良好或為室內設施,2026-03-03 19:07:25
埔尾活動中心二次避難所,埔心街132號,24.700742,121.054377,True,40,新竹,42,15.33,Safe,AQI良好或為室內設施,2026-03-03 19:07:25
北埔國小二次避難所,埔心街24號,24.700797,121.053448,True,865,新竹,42,15.27,Safe,AQI良好或為室內設施,2026-03-03 19:07:25
北埔鄉立幼兒園,中興街2號,24.701165,121.05916,True,80,新竹,42,15.57,Safe,AQI良好或為室內設施,2026-03-03 19:07:25
仁愛社區活動中心,羅東鎮仁愛里復興路三段557號,24.7014,121.756,True,174,宜蘭,33,1.74,Safe,AQI良好或為室內設施,2026-03-03 19:07:25
山下社區活動中心,7鄰山下62-7號,24.7018,120.9012,True,50,新竹,42,14.14,Safe,AQI良好或為室內設施,2026-03-03 19:07:25
關西國小,7鄰中山路126號,24.7029,121.0541,True,700,新竹,42,15.12,Safe,AQI良好或為室內設施,2026-03-03 19:07:25
水?社區活動中心,8鄰中豐路1巷9號,24.703765,121.05927,True,35,新竹,42,15.35,Safe,AQI良好或為室內設施,2026-03-03 19:07:25
豐田村集會所,3鄰油羅63-1號,24.70432,121.1569,True,45,新竹,42,22.67,Safe,AQI良好或為室內設施,2026-03-03 19:07:25
北埔國中二次避難所,埔心街141號,24.704374,121.047608,True,920,新竹,42,14.61,Safe,AQI良好或為室內設施,2026-03-03 19:07:25
田寮村集會所,田洋街132號,24.70463,121.1058,True,180,新竹,42,18.5,Safe,AQI良好或為室內設施,2026-03-03 19:07:25
三興社區活動中心,三結路43-1號,24.7056,121.7739,True,83,宜蘭,33,1.45,Safe,AQI良好或為室內設施,2026-03-03 19:07:25
尖石天主堂,3鄰147號,24.7059,121.2029,True,50,新竹,42,26.63,Safe,AQI良好或為室內設施,2026-03-03 19:07:25
新光國小,8鄰17號,24.706,121.2031,True,50,新竹,42,26.64,Safe,AQI良好或為室內設施,2026-03-03 19:07:25
廣濟宮活動中心,大同路1號,24.70628,121.1807,True,110,新竹,42,24.62,Safe,AQI良好或為室內設施,2026-03-03 19:07:25
拿互依長老教會,3鄰153號,24.7068,121.2085,True,50,新竹,42,27.09,Safe,AQI良好或為室內設施,2026-03-03 19:07:25
大同高中-操場,公義路890號,24.707893,120.895333,False,800,新竹,42,13.85,Safe,AQI良好或為室內設施,2026-03-03 19:07:25
大埔社區活動中心,公義路936號,24.709181,120.896939,True,100,新竹,42,13.64,Safe,AQI良好或為室內設施,2026-03-03 19:07:25
中華村集會所,粗坑路304號,24.709398,121.646633,True,11,宜蘭,33,12.65,Safe,AQI良好或為室內設施,2026-03-03 19:07:25
二結社區活動中心,學進路83號,24.7095,121.762,True,170,宜蘭,33,2.04,Safe,AQI良好或為室內設施,2026-03-03 19:07:25
內城國民中小學化育分校,員山路三段256號,24.71129,121.652657,True,180,宜蘭,33,12.08,Safe,AQI良好或為室內設施,2026-03-03 19:07:25
蓁巷社區活動中心,成功路45號,24.713572,121.695581,True,64,宜蘭,33,7.91,Safe,AQI良好或為室內設施,2026-03-03 19:07:25
員崠國小活動中心,東峰路281號,24.7137,121.0988,True,580,新竹,42,17.31,Safe,AQI良好或為室內設施,2026-03-03 19:07:25
七賢村民眾活動中心,賢德路一段61巷25號,24.714634,121.735106,True,78,宜蘭,33,4.32,Safe,AQI良好或為室內設施,2026-03-03 19:07:25
深溝村集會所,深洲一路37巷7號,24.715727,121.71978,True,10,宜蘭,33,5.72,Safe,AQI良好或為室內設施,2026-03-03 19:07:25
力行村集會所,中山街1段177號,24.71575,121.1681,True,15,新竹,42,23.0,Safe,AQI良好或為室內設施,2026-03-03 19:07:25
橫山社區長壽俱樂部,橫山96號,24.71819,121.1153,True,45,新竹,42,18.32,Safe,AQI良好或為室內設施,2026-03-03 19:07:25
內城社區活動中心,榮光路321號,24.720881,121.688913,True,34,宜蘭,33,8.81,Safe,AQI良好或為室內設施,2026-03-03 19:07:25
雙溪國小三峰分校,7鄰新湖路4段90號,24.72123556,120.9970159,True,1100,新竹,42,10.72,Safe,AQI良好或為室內設施,2026-03-03 19:07:25
老人文康活動中心,永昌街53號,24.72184,121.1345,True,90,新竹,42,19.72,Safe,AQI良好或為室內設施,2026-03-03 19:07:25
八五三教會,10鄰62-5號,24.7223,121.2741,True,200,桃園,38,30.29,Safe,AQI良好或為室內設施,2026-03-03 19:07:25
油田社區活動中心,8鄰新湖路3段172號,24.724414,121.01329,True,82,新竹,42,10.96,Safe,AQI良好或為室內設施,2026-03-03 19:07:25
凱旋國民中學樂活館,縣政七街50巷1號,24.7256,121.757,True,164,宜蘭,33,3.88,Safe,AQI良好或為室內設施,2026-03-03 19:07:25
凱旋國小展藝館,凱旋路130號,24.7256,121.7636,True,277,宜蘭,33,3.7,Safe,AQI良好或為室內設施,2026-03-03 19:07:25
南隘國小,新竹市南隘路二段31號,24.727235,120.929301,True,465,新竹,42,10.37,Safe,AQI良好或為室內設施,2026-03-03 19:07:25
凱旋社區活動中心,旋流路3之5號,24.7276,121.7682,True,64,宜蘭,33,3.87,Safe,AQI良好或為室內設施,2026-03-03 19:07:25
大崎村集會所,雙園路1段6巷32號,24.7288,120.9534,True,106,新竹,42,9.56,Safe,AQI良好或為室內設施,2026-03-03 19:07:25
寶斗集會所,6鄰寶斗路110號,24.72880207,120.9533615,True,72,新竹,42,9.56,Safe,AQI良好或為室內設施,2026-03-03 19:07:25
新南活動中心,壯圍鄉新南村美福路一段76號,24.7294,121.7873,True,44,宜蘭,33,4.4,Safe,AQI良好或為室內設施,2026-03-03 19:07:25
紅葉活動中心,壯圍鄉復興村紅葉路69-4號,24.7297,121.8225,True,61,宜蘭,33,6.66,Safe,AQI良好或為室內設施,2026-03-03 19:07:25
南橋社區活動中心,南橋路240號,24.7307,121.7412,True,38,宜蘭,33,5.14,Safe,AQI良好或為室內設施,2026-03-03 19:07:25
建業社區活動中心,建業路86巷57號、59號,24.7315,121.7566,True,26,宜蘭,33,4.52,Safe,AQI良好或為室內設施,2026-03-03 19:07:25
惠好社區活動中心,賢德路二段66巷50號,24.731738,121.730742,True,125,宜蘭,33,5.9,Safe,AQI良好或為室內設施,2026-03-03 19:07:25
樹杞林文化館,新生路377號,24.7325,121.0946,True,817,新竹,42,15.7,Safe,AQI良好或為室內設施,2026-03-03 19:07:25
中山社區活動中心,大同路257號,24.7328,121.891,True,93,宜蘭,33,12.96,Safe,AQI良好或為室內設施,2026-03-03 19:07:25
育才國小中興堂,進士路8號,24.7332,121.7369,True,68,宜蘭,33,5.62,Safe,AQI良好或為室內設施,2026-03-03 19:07:25
新城國小,10鄰寶新路2段475號,24.733474,120.967436,True,770,新竹,42,8.93,Safe,AQI良好或為室內設施,2026-03-03 19:07:25
中山國小禮堂,中山路70號,24.7335,121.0947,True,797,新竹,42,15.64,Safe,AQI良好或為室內設施,2026-03-03 19:07:25
秀湖社區活動中心,4鄰五和街3號,24.734,121.1168,True,30,新竹,42,17.49,Safe,AQI良好或為室內設施,2026-03-03 19:07:25
水田教會,水田7鄰192號,24.7341,121.2584,True,50,桃園,38,29.17,Safe,AQI良好或為室內設施,2026-03-03 19:07:25
竹東國小體育館,康寧街1號,24.7352,121.0883,True,650,新竹,42,15.0,Safe,AQI良好或為室內設施,2026-03-03 19:07:25
湖北社區活動中心,大湖五路80號,24.735298,121.718042,True,30,宜蘭,33,7.09,Safe,AQI良好或為室內設施,2026-03-03 19:07:25
福興社區活動中心,八十分31號,24.73543,121.1704,True,155,新竹,42,22.26,Safe,AQI良好或為室內設施,2026-03-03 19:07:25
五龍社區活動中心,富林路1段138巷91號,24.7362,121.1223,True,20,新竹,42,17.85,Safe,AQI良好或為室內設施,2026-03-03 19:07:25
永鎮活動中心,壯圍鄉永鎮村壯濱路四段375號,24.7366,121.8154,True,118,宜蘭,33,6.65,Safe,AQI良好或為室內設施,2026-03-03 19:07:25
竹東客家戲曲公園,原育樂公園,24.7373,121.0903,False,805,新竹,42,15.04,Safe,AQI良好或為室內設施,2026-03-03 19:07:25
尚德社區活動中心,三鬮路35巷13號,24.737618,121.722128,True,134,宜蘭,33,6.97,Safe,AQI良好或為室內設施,2026-03-03 19:07:25
逸仙社區活動中心,大湖十六路181巷2號,24.738714,121.700435,True,34,宜蘭,33,8.72,Safe,AQI良好或為室內設施,2026-03-03 19:07:25
沙坑村集會所,沙坑街50號,24.73874,121.1611,True,50,新竹,42,21.25,Safe,AQI良好或為室內設施,2026-03-03 19:07:25
大同國小禮堂,莊敬街111號,24.7403,121.0884,True,835,新竹,42,14.69,Safe,AQI良好或為室內設施,2026-03-03 19:07:25
